project_id,project,category,opportunity_signal_grade,attention,reselection,money,activation,outcome,usage,purchase,repeat,friction,total_signal_volume,source_table
recent_an-autonomous-agent-for-slay-the,An Autonomous Agent for Slay the,AI Products,D: 信号稀疏,1,0,0,2,1,1,0,1,0,3,04_recent_project_feature_scores.csv
recent_i-built-a-menu-bar-app-to,I built a menu-bar app to,SaaS / Software,D: 信号稀疏,1,0,0,1,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_structure-from-attention,Structure from Attention,SaaS / Software,A: 行为链较完整,109,41,28,97,97,80,4,125,73,419,04_recent_project_feature_scores.csv
recent_i-have-been-clawed,I Have Been Clawed,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_directxsplat,DirectXSplat,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,1,1,1,04_recent_project_feature_scores.csv
recent_i-built-a-tool-that-runs,I built a tool that runs,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_gawkbot,Gawkbot,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_1dial-an-ai-you-can-call-text,"1Dial, an AI you can call/Text",AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_orchestrate-frontier-ais-on-the-subscriptions,Orchestrate frontier AIs on the subscriptions,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_browser-splitview-master,Browser SplitView Master,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_markdown-gatekeeper,Markdown Gatekeeper,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_pastecmd,Pastecmd,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_haserupt,Haserupt,AI Products,D: 信号稀疏,0,0,0,1,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_one-versioned-standard-for-a-fleet-s,One versioned standard for a fleet's,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_forum,Forum,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_didit-run,Didit.run,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_memcode-launches-github-code-review,Memcode Launches GitHub Code Review,Developer Tools,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_local-ai-assistants-can-be-user,Local AI Assistants can be user,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_rust-compiler-converting-cpgs-to-nuclei,Rust compiler converting CPGs to Nuclei,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_life-compass,Life Compass,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_notes-plus,Notes Plus,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_secure-agentic-email-infrastructure-with-beta,Secure agentic email infrastructure with beta,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_tinyjs,TinyJS,AI Products,D: 信号稀疏,1,0,1,1,1,0,0,1,1,5,04_recent_project_feature_scores.csv
recent_weedout,Weedout,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_rails-baseline,Rails Baseline,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_superagent-a-computer-for-your-coding,"Superagent, a computer for your coding",AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_fountain,Fountain,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_compilr-dev-studio,Compilr.dev Studio,AI Products,D: 信号稀疏,0,0,0,1,1,1,0,2,1,2,04_recent_project_feature_scores.csv
recent_hn-match-maker,HN Match Maker,AI Products,D: 信号稀疏,1,0,0,1,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_the-daily-set,The Daily Set,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_groundbeat,Groundbeat,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_teslacode-dev,Teslacode.dev,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_mcptunnels,Mcptunnels,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_vedic-astrology-from-your-vedic-birth,Vedic astrology from your Vedic birth,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_indextkn,Indextkn,AI Products,D: 信号稀疏,0,0,1,1,0,0,0,0,0,2,04_recent_project_feature_scores.csv
recent_gorilla-warefare,Gorilla Warefare,SaaS / Software,A: 行为链较完整,2,3,3,6,4,3,1,10,8,21,04_recent_project_feature_scores.csv
recent_phone-cigarette,Phone Cigarette,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_claude-and-chatgpt-need-a-datacenter,Claude and ChatGPT need a datacenter.,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_codex-remote-control,codex-remote-control,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_personal-ai-use-policies,Personal AI Use Policies,AI Products,A: 行为链较完整,30,11,18,60,49,45,2,65,30,169,04_recent_project_feature_scores.csv
recent_meridianos,MeridianOS,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_kaden-terminal,Kaden Terminal,AI Products,D: 信号稀疏,1,0,0,1,1,1,0,2,1,3,04_recent_project_feature_scores.csv
recent_gopdfrab,Gopdfrab,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_wife-ai-that-lets-you-pick,Wife: AI that lets you pick,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_vayvan,Vayvan,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_wasmer-sdk,Wasmer SDK,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
