project_id,project,category,source,event_year,attention,reselection,money,activation,outcome,usage,purchase,repeat,friction,total_signal_volume,money_per_attention,outcome_per_attention,reselection_per_attention,friction_per_usage,opportunity_signal_grade
recent_an-autonomous-agent-for-slay-the,An Autonomous Agent for Slay the,AI Products,show_hn,2026,1,0,0,2,1,1,0,1,0,3,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_i-built-a-menu-bar-app-to,I built a menu-bar app to,SaaS / Software,show_hn,2026,1,0,0,1,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_structure-from-attention,Structure from Attention,SaaS / Software,show_hn,2026,109,41,28,97,97,80,4,125,73,419,0.257,0.89,0.376,0.912,A: 行为链较完整
recent_i-have-been-clawed,I Have Been Clawed,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_directxsplat,DirectXSplat,Hardware,show_hn,2026,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_i-built-a-tool-that-runs,I built a tool that runs,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_gawkbot,Gawkbot,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_1dial-an-ai-you-can-call-text,"1Dial, an AI you can call/Text",AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_orchestrate-frontier-ais-on-the-subscriptions,Orchestrate frontier AIs on the subscriptions,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_browser-splitview-master,Browser SplitView Master,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_markdown-gatekeeper,Markdown Gatekeeper,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_pastecmd,Pastecmd,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_haserupt,Haserupt,AI Products,show_hn,2026,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_one-versioned-standard-for-a-fleet-s,One versioned standard for a fleet's,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_forum,Forum,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_didit-run,Didit.run,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_memcode-launches-github-code-review,Memcode Launches GitHub Code Review,Developer Tools,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_local-ai-assistants-can-be-user,Local AI Assistants can be user,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_rust-compiler-converting-cpgs-to-nuclei,Rust compiler converting CPGs to Nuclei,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_life-compass,Life Compass,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_notes-plus,Notes Plus,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_secure-agentic-email-infrastructure-with-beta,Secure agentic email infrastructure with beta,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_tinyjs,TinyJS,AI Products,show_hn,2026,1,0,1,1,1,0,0,1,1,5,1.0,1.0,0.0,1.0,D: 信号稀疏
recent_weedout,Weedout,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_rails-baseline,Rails Baseline,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_superagent-a-computer-for-your-coding,"Superagent, a computer for your coding",AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_fountain,Fountain,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_compilr-dev-studio,Compilr.dev Studio,AI Products,show_hn,2026,0,0,0,1,1,1,0,2,1,2,0.0,1.0,0.0,1.0,D: 信号稀疏
recent_hn-match-maker,HN Match Maker,AI Products,show_hn,2026,1,0,0,1,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_the-daily-set,The Daily Set,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_groundbeat,Groundbeat,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_teslacode-dev,Teslacode.dev,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_mcptunnels,Mcptunnels,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_vedic-astrology-from-your-vedic-birth,Vedic astrology from your Vedic birth,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_indextkn,Indextkn,AI Products,show_hn,2026,0,0,1,1,0,0,0,0,0,2,1.0,0.0,0.0,0.0,D: 信号稀疏
recent_gorilla-warefare,Gorilla Warefare,SaaS / Software,show_hn,2026,2,3,3,6,4,3,1,10,8,21,1.5,2.0,1.5,2.667,A: 行为链较完整
recent_phone-cigarette,Phone Cigarette,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_claude-and-chatgpt-need-a-datacenter,Claude and ChatGPT need a datacenter.,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_codex-remote-control,codex-remote-control,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_personal-ai-use-policies,Personal AI Use Policies,AI Products,show_hn,2026,30,11,18,60,49,45,2,65,30,169,0.6,1.633,0.367,0.667,A: 行为链较完整
recent_meridianos,MeridianOS,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_kaden-terminal,Kaden Terminal,AI Products,show_hn,2026,1,0,0,1,1,1,0,2,1,3,0.0,1.0,0.0,1.0,D: 信号稀疏
recent_gopdfrab,Gopdfrab,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_wife-ai-that-lets-you-pick,Wife: AI that lets you pick,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_vayvan,Vayvan,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_wasmer-sdk,Wasmer SDK,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
