product_id,product,category,outcome,problem_space,signal_id,signal_type,signal_volume,signal_growth,signal_acceleration,first_seen,peak_time,purchase_growth,usage_growth,replacement_growth,repeat_purchase_growth,lead_time_to_purchase_signal_years,correlation_same_year_to_outcome,correlation_lead1_to_outcome,data_window,data_quality_note
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,01,Problem Recognition,87,4.0,9,2019,2025,2.9,1.404,2.25,2.5,0,0.694,-0.04,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,02,Search,75,2.182,12,2018,2025,2.9,1.404,2.25,2.5,1,0.806,-0.182,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,03,Recommendation Seeking,91,1.571,16,2018,2021,2.9,1.404,2.25,2.5,1,0.866,-0.126,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,04,Solution Discovery,72,1.083,7,2018,2021,2.9,1.404,2.25,2.5,1,0.804,0.158,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,05,Comparison,33,2.8,8,2019,2025,2.9,1.404,2.25,2.5,0,0.702,-0.564,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,06,Alternative Seeking,61,2.7,18,2019,2025,2.9,1.404,2.25,2.5,0,0.657,-0.628,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,07,Vendor / Provider Search,53,4.8,16,2020,2025,2.9,1.404,2.25,2.5,-1,0.722,-0.342,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,08,Pricing / Quote,18,1.167,3,2018,2022,2.9,1.404,2.25,2.5,1,0.174,-0.375,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,09,Purchase Intent,17,4.0,4,2020,2025,2.9,1.404,2.25,2.5,-1,0.491,-0.026,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,10,Purchase,91,2.9,12,2019,2025,2.9,1.404,2.25,2.5,0,0.894,-0.304,2018-2026,HN public discussion proxy; not direct sales data
hardware_nas,NAS,Hardware,Success/Niche,network attached storage,11,Trial,9,0.667,2,2021,2023,2.9,1.404,2.25,2.5,-2,0.2,-0.138,2018-2026,HN public discussion proxy; not direct sales data
