anti_hard_to_switch,anti_low_value_attention,anti_no_budget,anti_solved_by_incumbent,anti_too_custom,completion_rate,pattern_growth,pattern_migration,pattern_payment,pattern_repetition,pattern_self_build,pattern_sharing,pattern_technology,pattern_workaround,pattern_workflow,records,signal_id,signal_name,target
2,423,751,95,467,100.0%,243,502,1053,572,940,300,1795,1389,1102,10000,01,用户已经在使用解决方案,10000
4,1153,1433,133,639,100.0%,650,776,2055,6342,1420,381,2776,1072,2070,10000,02,重复劳动,10000
13,1559,1640,270,1397,100.0%,530,974,1719,1292,5690,477,3706,1177,1867,10000,03,自己造轮子,10000
10,545,913,111,521,100.0%,238,1335,986,520,2467,811,1863,475,1205,10000,04,半成品市场,10000
48,584,1219,80,380,100.0%,413,620,6257,507,639,160,1793,291,1131,10000,05,已经花钱但非常不满意,10000
14,472,708,79,312,100.0%,283,5102,1044,375,557,176,1337,990,613,10000,06,用户正在迁移,10000
13,309,667,40,167,100.0%,274,322,2597,248,234,132,935,195,948,10000,07,现有预算,10000
27,956,1479,142,634,100.0%,808,985,8158,546,553,237,3304,387,1565,10000,08,异常贵,10000
4,195,398,34,223,100.0%,133,222,679,229,325,187,1321,244,4132,10000,09,行业黑话 / 工作流,10000
1,379,510,75,385,100.0%,140,288,624,339,803,195,7603,290,789,10000,10,新技术带来的新问题,10000
15,751,921,180,635,100.0%,292,734,1253,618,1464,328,2900,3426,1129,10000,11,绕过现有系统,10000
6,609,851,76,356,100.0%,190,421,761,476,765,3223,1420,317,1001,10000,12,用户互相传播 workaround,10000
1,395,309,17,104,100.0%,3415,230,622,184,205,81,1060,107,306,10000,13,异常行为,10000
6,794,752,67,281,100.0%,5105,615,2342,505,321,157,2288,297,882,10000,14,需求增长,10000
